romdasSpikes,calcSpikesY,calcSpikesX,calcSpikesZ,calcSpikesAll,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,speed,gpsSpeed,yMax,xMax,zMax
,47,55,,,5.61,,,,,,,,,26.93807,27.582700061683415,,,
,26,13,,,5.78,,,,,,,,,28.85541,23.84686668924475,,,
,19,8,,,5.3,,,,,,,,,33.80793,33.493380758530115,,,
,8,24,,,4.76,,,,,,,,,32.77968,42.65942904842814,,,
,10,22,,,5.19,,,,,,,,,32.99698,29.8171908062561,,,
,14,17,,,5.02,,,,,,,,,27.49361,25.558731496281816,,,
,10,16,,,4.65,,,,,,,,,31.71345,33.981068656254386,,,
,13,32,,,4.74,,,,,,,,,24.75402,28.593233776055786,,,
,10,18,,,5.25,,,,,,,,,23.82061,23.585642343320252,,,
,48,53,,,5.13,,,,,,,,,30.09198,27.0705722286305,,,
,28,44,,,6.13,,,,,,,,,32.31322,35.44232046485405,,,
,37,51,,,5.59,,,,,,,,,29.96003,25.51081834014602,,,
,8,16,,,6.23,,,,,,,,,28.67385,28.275539124323466,,,
,6,39,,,4.57,,,,,,,,,31.31998,26.290752609145184,,,
,11,13,,,5.45,,,,,,,,,23.16519,24.789582446008684,,,
,14,11,,,4.01,,,,,,,,,28.82769,29.326227981641857,,,
,8,16,,,4.34,,,,,,,,,28.64679,28.90624687406144,,,
,8,19,,,4.57,,,,,,,,,26.28074,27.521854318824534,,,
,11,24,,,4.26,,,,,,,,,28.27665,22.835439308163398,,,
,10,15,,,4.08,,,,,,,,,29.24432,33.72666265140027,,,
,5,7,,,4.34,,,,,,,,,30.87176,32.48174030935064,,,
,18,32,,,4.88,,,,,,,,,34.6583,34.441743751334066,,,
,21,47,,,6.21,,,,,,,,,28.56455,26.58069297501347,,,
,20,10,,,5.66,,,,,,,,,18.50323,14.159585918733415,,,
,20,26,,,4.84,,,,,,,,,23.73191,28.69889945348926,,,
,12,22,,,5.34,,,,,,,,,30.90129,27.018403027487313,,,
,8,15,,,4.72,,,,,,,,,31.55313,35.11216938548748,,,
,19,28,,,6.7,,,,,,,,,35.05996,35.73333595603151,,,
,14,32,,,8.45,,,,,,,,,35.21116,40.783109713704555,,,
,15,22,,,6.67,,,,,,,,,32.29765,28.812220299701746,,,
,22,25,,,5.37,,,,,,,,,34.4225,27.342036602887553,,,
,10,18,,,5.56,,,,,,,,,31.73826,39.45616291292839,,,
,10,25,,,5.93,,,,,,,,,34.49933,32.80010021085083,,,
,20,68,,,5.74,,,,,,,,,31.19157,33.19669968225357,,,
,15,56,,,4.86,,,,,,,,,15.24324,6.169837436633601,,,
,11,47,,,4.72,,,,,,,,,24.59947,0.0,,,
,11,53,,,3.78,,,,,,,,,29.47558,0.0,,,
,16,44,,,4.08,,,,,,,,,28.05935,0.0,,,
,11,71,,,3.96,,,,,,,,,28.76662,0.0,,,
,21,44,,,5.22,,,,,,,,,22.97054,0.0,,,
,18,38,,,4.82,,,,,,,,,16.24497,0.0,,,
,39,56,,,5.21,,,,,,,,,5.915124,0.0,,,
,13,21,,,3.92,,,,,,,,,27.72905,0.0,,,
,9,20,,,6.57,,,,,,,,,33.94111,0.0,,,
,13,27,,,4.7,,,,,,,,,35.02143,0.0,,,
,18,42,,,5.07,,,,,,,,,33.30906,0.0,,,
,9,21,,,4.28,,,,,,,,,37.84338,0.0,,,
,21,28,,,6.18,,,,,,,,,35.12075,0.0,,,
,33,36,,,6.63,,,,,,,,,34.17503,0.0,,,
,26,72,,,5.43,,,,,,,,,30.70615,0.0,,,
,53,83,,,7.25,,,,,,,,,32.75058,0.0,,,
,45,88,,,6.98,,,,,,,,,31.43204,0.0,,,
,45,53,,,6.28,,,,,,,,,16.03196,0.0,,,
,37,48,,,4.98,,,,,,,,,26.84562,0.0,,,
,33,76,,,5.65,,,,,,,,,31.08001,567.9723136052678,,,
,41,90,,,7.53,,,,,,,,,33.65427,34.66734013053135,,,
,51,66,,,6.19,,,,,,,,,32.31516,34.30927293401763,,,
,28,49,,,5.61,,,,,,,,,30.44282,30.409683688031905,,,
,30,47,,,5.18,,,,,,,,,27.60865,24.403197622989275,,,
,26,35,,,5.2,,,,,,,,,18.95288,17.223037975431197,,,
